"date","number of sims","sample size","chooser","chooser_params","prior.i","prior.j","prior.k","prior.l","power","ENS"
2024-07-17,100,512,"balanced",NA,100,100,3,1,0.831683168316832,0.589515006188119
2024-07-17,100,2,"thomper",NA,100,100,3,1,0,0.712871287128713
2024-07-17,100,4,"thomper",NA,100,100,3,1,0,0.732673267326733
2024-07-17,100,8,"thomper",NA,100,100,3,1,0,0.732673267326733
2024-07-17,100,16,"thomper",NA,100,100,3,1,0,0.744430693069307
2024-07-17,100,32,"thomper",NA,100,100,3,1,0.0099009900990099,0.752475247524752
2024-07-17,100,64,"thomper",NA,100,100,3,1,0.0693069306930693,0.752784653465347
2024-07-17,100,128,"thomper",NA,100,100,3,1,0.0891089108910891,0.761061262376238
2024-07-17,100,256,"thomper",NA,100,100,3,1,0.099009900990099,0.766282487623762
2024-07-17,100,512,"thomper",NA,100,100,3,1,0.108910891089109,0.764580754950495
2024-07-17,100,2,"DTL",0,100,100,3,1,0,0.663366336633663
2024-07-17,100,4,"DTL",0,100,100,3,1,0,0.653465346534653
2024-07-17,100,8,"DTL",0,100,100,3,1,0,0.636138613861386
2024-07-17,100,16,"DTL",0,100,100,3,1,0.0891089108910891,0.634282178217822
2024-07-17,100,32,"DTL",0,100,100,3,1,0.316831683168317,0.637066831683168
2024-07-17,100,64,"DTL",0,100,100,3,1,0.514851485148515,0.655321782178218
2024-07-17,100,128,"DTL",0,100,100,3,1,0.633663366336634,0.662438118811881
2024-07-17,100,256,"DTL",0,100,100,3,1,0.752475247524752,0.668703589108911
2024-07-17,100,512,"DTL",0,100,100,3,1,0.841584158415841,0.678082456683168
2024-07-17,100,2,"DTL",2,100,100,3,1,0,0.594059405940594
2024-07-17,100,4,"DTL",2,100,100,3,1,0,0.591584158415842
2024-07-17,100,8,"DTL",2,100,100,3,1,0.0396039603960396,0.622524752475248
2024-07-17,100,16,"DTL",2,100,100,3,1,0.108910891089109,0.621905940594059
2024-07-17,100,32,"DTL",2,100,100,3,1,0.346534653465347,0.637066831683168
2024-07-17,100,64,"DTL",2,100,100,3,1,0.524752475247525,0.639232673267327
2024-07-17,100,128,"DTL",2,100,100,3,1,0.673267326732673,0.650216584158416
2024-07-17,100,256,"DTL",2,100,100,3,1,0.772277227722772,0.664952042079208
2024-07-17,100,512,"DTL",2,100,100,3,1,0.831683168316832,0.677018873762376
2024-07-17,100,2,"DTL",6,100,100,3,1,0,0.564356435643564
2024-07-17,100,4,"DTL",6,100,100,3,1,0,0.596534653465347
2024-07-17,100,8,"DTL",6,100,100,3,1,0.0099009900990099,0.606435643564356
2024-07-17,100,16,"DTL",6,100,100,3,1,0.128712871287129,0.619430693069307
2024-07-17,100,32,"DTL",6,100,100,3,1,0.346534653465347,0.624690594059406
2024-07-17,100,64,"DTL",6,100,100,3,1,0.524752475247525,0.634127475247525
2024-07-17,100,128,"DTL",6,100,100,3,1,0.673267326732673,0.647354579207921
2024-07-17,100,256,"DTL",6,100,100,3,1,0.782178217821782,0.656133972772277
2024-07-17,100,512,"DTL",6,100,100,3,1,0.851485148514851,0.663965810643564
2024-07-17,100,2,"DBCD",0,100,100,3,1,0,0.618811881188119
2024-07-17,100,4,"DBCD",0,100,100,3,1,0,0.599009900990099
2024-07-17,100,8,"DBCD",0,100,100,3,1,0.0198019801980198,0.618811881188119
2024-07-17,100,16,"DBCD",0,100,100,3,1,0.158415841584158,0.660891089108911
2024-07-17,100,32,"DBCD",0,100,100,3,1,0.396039603960396,0.691522277227723
2024-07-17,100,64,"DBCD",0,100,100,3,1,0.594059405940594,0.709467821782178
2024-07-17,100,128,"DBCD",0,100,100,3,1,0.722772277227723,0.711014851485148
2024-07-17,100,256,"DBCD",0,100,100,3,1,0.831683168316832,0.716236076732673
2024-07-17,100,512,"DBCD",0,100,100,3,1,0.861386138613861,0.718169863861386
2024-07-17,100,2,"DBCD",2,100,100,3,1,0,0.594059405940594
2024-07-17,100,4,"DBCD",2,100,100,3,1,0,0.623762376237624
2024-07-17,100,8,"DBCD",2,100,100,3,1,0,0.658415841584158
2024-07-17,100,16,"DBCD",2,100,100,3,1,0.138613861386139,0.678836633663366
2024-07-17,100,32,"DBCD",2,100,100,3,1,0.297029702970297,0.689975247524752
2024-07-17,100,64,"DBCD",2,100,100,3,1,0.455445544554455,0.70157797029703
2024-07-17,100,128,"DBCD",2,100,100,3,1,0.693069306930693,0.702815594059406
2024-07-17,100,256,"DBCD",2,100,100,3,1,0.821782178217822,0.700688428217822
2024-07-17,100,512,"DBCD",2,100,100,3,1,0.881188118811881,0.702815594059406
2024-07-17,100,2,"DBCD",4,100,100,3,1,0,0.618811881188119
2024-07-17,100,4,"DBCD",4,100,100,3,1,0,0.633663366336634
2024-07-17,100,8,"DBCD",4,100,100,3,1,0,0.663366336633663
2024-07-17,100,16,"DBCD",4,100,100,3,1,0.0792079207920792,0.698638613861386
2024-07-17,100,32,"DBCD",4,100,100,3,1,0.227722772277228,0.715346534653465
2024-07-17,100,64,"DBCD",4,100,100,3,1,0.465346534653465,0.726485148514851
2024-07-17,100,128,"DBCD",4,100,100,3,1,0.683168316831683,0.729115099009901
2024-07-17,100,256,"DBCD",4,100,100,3,1,0.821782178217822,0.728728341584158
2024-07-17,100,512,"DBCD",4,100,100,3,1,0.881188118811881,0.728496287128713
2024-07-17,100,2,"tw_foo",0.5,100,100,3,1,0,0.658415841584159
2024-07-17,100,4,"tw_foo",0.5,100,100,3,1,0,0.668316831683168
2024-07-17,100,8,"tw_foo",0.5,100,100,3,1,0,0.686881188118812
2024-07-17,100,16,"tw_foo",0.5,100,100,3,1,0.0396039603960396,0.683787128712871
2024-07-17,100,32,"tw_foo",0.5,100,100,3,1,0.138613861386139,0.701113861386139
2024-07-17,100,64,"tw_foo",0.5,100,100,3,1,0.188118811881188,0.709003712871287
2024-07-17,100,128,"tw_foo",0.5,100,100,3,1,0.287128712871287,0.723313737623762
2024-07-17,100,256,"tw_foo",0.5,100,100,3,1,0.316831683168317,0.726949257425743
2024-07-17,100,512,"tw_foo",0.5,100,100,3,1,0.376237623762376,0.731706373762376
